source,target,count,source_label,target_label,timeset,time_period,start_date,end_date,monthly_period
36,70,2,futura-sciences.com,euronews.com,"""[1,1]""",1,2017-01-01,2017-01-15,1
0,15,1,francetvinfo.fr,franceinter.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
0,12,6,francetvinfo.fr,francebleu.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
0,45,2,francetvinfo.fr,bienpublic.com,"""[1,1]""",1,2017-01-01,2017-01-15,1
0,19,1,francetvinfo.fr,franceculture.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
16,22,177,lemonde.fr,nouvelobs.com,"""[1,1]""",1,2017-01-01,2017-01-15,1
16,18,175,lemonde.fr,telerama.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
16,20,175,lemonde.fr,huffingtonpost.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
16,21,175,lemonde.fr,lavie.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
16,23,175,lemonde.fr,courrierinternational.com,"""[1,1]""",1,2017-01-01,2017-01-15,1
24,28,1,mediapart.fr,leparisien.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
24,6,1,mediapart.fr,arte.tv,"""[1,1]""",1,2017-01-01,2017-01-15,1
24,3,1,mediapart.fr,mediacites.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
24,4,1,mediapart.fr,rue89lyon.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
71,16,1,marianne.net,lemonde.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
71,11,1,marianne.net,liberation.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
71,7,1,marianne.net,bfmtv.com,"""[1,1]""",1,2017-01-01,2017-01-15,1
71,75,1,marianne.net,alternatives-economiques.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
74,0,2,lepoint.fr,francetvinfo.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
74,30,1,lepoint.fr,20minutes.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
74,9,1,lepoint.fr,lefigaro.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
74,67,2,lepoint.fr,midilibre.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
37,25,4,theconversation.com,lexpress.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
38,28,2,lesechos.fr,leparisien.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
58,16,1,latribune.fr,lemonde.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
58,37,4,latribune.fr,theconversation.com,"""[1,1]""",1,2017-01-01,2017-01-15,1
58,38,1,latribune.fr,lesechos.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
58,70,1,latribune.fr,euronews.com,"""[1,1]""",1,2017-01-01,2017-01-15,1
58,9,1,latribune.fr,lefigaro.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
58,23,1,latribune.fr,courrierinternational.com,"""[1,1]""",1,2017-01-01,2017-01-15,1
58,84,1,latribune.fr,challenges.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
30,28,1,20minutes.fr,leparisien.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
30,0,1,20minutes.fr,francetvinfo.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
30,10,7,20minutes.fr,ouest-france.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
30,23,1,20minutes.fr,courrierinternational.com,"""[1,1]""",1,2017-01-01,2017-01-15,1
30,12,1,20minutes.fr,francebleu.fr,"""[1,1]""",1,2017-01-01,2017-01-15,1
