Id,Label,timeset,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,weighted degree,pageranks,modularity_class,LR_quintile,leaning,audience_mean_lr,audience_mean_antielite,audience_mean_eu,audience_mean_nationalism
0,francetvinfo.fr,,49,45,94,4,0.619048,0.729853,0.088902,281,288,569,0.054868,0,1,centre-left,5.7071063106457,7.294050172019603,5.102155317269719,4.917448394982694
1,slate.fr,,9,28,37,4,0.551515,0.634615,0.003697,17,65,82,0.00401,1,1,centre-left,5.855971508282339,7.076865583012607,5.802581261411417,4.390409030510493
2,lavoixdunord.fr,,15,13,28,4,0.481481,0.538462,0.002321,56,45,101,0.011928,0,1,centre-left,5.883054200660186,7.200457751073445,4.705332472303849,5.697096907283945
3,mediacites.fr,,3,8,11,5,0.457286,0.507692,0.000442,51,19,70,0.009699,2,0,left,4.936483307800152,6.940771117180139,5.148898719649897,4.295609947578868
4,rue89lyon.fr,,4,7,11,5,0.441748,0.491209,0.001503,43,7,50,0.009597,2,0,left,5.034999082910966,6.907609157454148,5.542143532109455,3.922152597179216
5,europe1.fr,,21,16,37,4,0.494565,0.558608,0.004809,55,36,91,0.01058,1,2,centre,6.608866773832755,7.221807379166049,5.177621639161728,5.583404507145586
6,arte.tv,,8,0,8,0,0.0,0.0,0.0,33,0,33,0.007197,1,1,centre-left,5.653607996358576,7.197674596884875,5.614296801554688,4.495207207189731
7,bfmtv.com,,35,22,57,4,0.526012,0.597985,0.011751,208,82,290,0.031184,0,3,centre-right,6.828000814294985,7.46575487295922,4.85285714866488,6.061262889163327
8,france24.com,,15,11,26,4,0.489247,0.533883,0.009635,55,26,81,0.020451,9,3,centre-right,6.796317211777158,8.35755882563812,5.090581439618802,6.326656065878148
9,lefigaro.fr,,43,23,66,4,0.514124,0.59707,0.023634,267,92,359,0.036004,0,4,right,7.826727320127689,7.256356046588018,4.815283662579926,7.127147106936994
10,ouest-france.fr,,31,21,52,4,0.50838,0.586081,0.030036,155,229,384,0.033275,4,1,centre-left,6.021886380107025,6.163084227923166,5.744647562630522,4.528209366939327
11,liberation.fr,,38,25,63,4,0.52,0.608059,0.054663,152,90,242,0.021145,1,0,left,4.911688124239652,7.203369994249573,5.259537262869142,4.16436771932735
12,francebleu.fr,,28,5,33,5,0.408072,0.452747,0.002187,174,34,208,0.025431,0,1,centre-left,5.745435264166263,6.578760088846644,5.04947288921844,5.1495636719305296
13,ladepeche.fr,,16,15,31,4,0.494565,0.554945,0.005326,76,88,164,0.010152,0,1,centre-left,5.742608650289943,6.818107289890525,5.214297954395085,4.901723185289866
14,valeursactuelles.com,,6,19,25,4,0.502762,0.575092,0.003877,10,50,60,0.004206,0,4,right,9.115436010702892,7.946991233594126,3.569916549861793,9.14574038049446
15,franceinter.fr,,15,0,15,0,0.0,0.0,0.0,50,0,50,0.02013,0,0,left,5.364780517017931,6.770618553075617,5.689485594286025,4.106283217895242
16,lemonde.fr,,49,60,109,4,0.684211,0.81044,0.145278,370,697,1067,0.057763,1,1,centre-left,5.606974853077207,6.821973642783895,5.711705947116835,4.335522140995864
17,nicematin.com,,8,4,12,4,0.452736,0.481685,0.000606,11,8,19,0.004575,1,3,centre-right,7.329806313099263,7.599097770192723,4.513420683014285,6.908811354498562
18,telerama.fr,,10,0,10,0,0.0,0.0,0.0,138,0,138,0.017817,1,0,left,4.993946043431052,7.195775662830621,5.46223806770404,3.929202258289203
19,franceculture.fr,,7,0,7,0,0.0,0.0,0.0,28,0,28,0.006434,0,1,centre-left,5.3908214061412645,6.760154917255688,5.746345831545419,4.004369608337383
20,huffingtonpost.fr,,23,18,41,4,0.514124,0.576007,0.009602,144,187,331,0.019517,1,1,centre-left,5.9541968386345365,7.285947904809202,5.225870898988068,5.039552552995609
