Id,Label,timeset,indegree,outdegree,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,weighted degree,pageranks,modularity_class,domain,audience_mean_lr,citations,lr_quintile,LR_quintile,leaning,audience_mean_antielite,audience_mean_eu,audience_mean_nationalism
0,francetvinfo.fr,,42,34,76,4,0.586207,0.683333,0.081397,242,293,535,0.057866,8,francetvinfo.fr,5.7071063106457,,,1,centre-left,7.294050172019603,5.102155317269719,4.917448394982694
1,slate.fr,,8,24,32,4,0.537975,0.618627,0.007421,11,58,69,0.003936,1,slate.fr,5.855971508282339,,,1,centre-left,7.076865583012607,5.802581261411417,4.390409030510493
2,lavoixdunord.fr,,18,14,32,4,0.485714,0.546078,0.006399,62,64,126,0.009896,0,lavoixdunord.fr,5.883054200660186,,,1,centre-left,7.200457751073445,4.705332472303849,5.697096907283945
3,mediacites.fr,,2,3,5,5,0.400943,0.438627,0.00012,51,6,57,0.00496,0,mediacites.fr,4.936483307800152,,,0,left,6.940771117180139,5.148898719649897,4.295609947578868
4,rue89lyon.fr,,3,8,11,5,0.452128,0.503333,0.002535,48,16,64,0.005226,0,rue89lyon.fr,5.034999082910966,,,0,left,6.907609157454148,5.542143532109455,3.922152597179216
5,europe1.fr,,19,10,29,5,0.452128,0.510196,0.005413,62,21,83,0.016823,8,europe1.fr,6.608866773832755,,,2,centre,7.221807379166049,5.177621639161728,5.583404507145586
6,arte.tv,,7,0,7,0,0.0,0.0,0.0,35,0,35,0.010797,8,arte.tv,5.653607996358576,,,1,centre-left,7.197674596884875,5.614296801554688,4.495207207189731
7,bfmtv.com,,28,23,51,4,0.524691,0.606863,0.019565,125,134,259,0.028664,3,bfmtv.com,6.828000814294985,,,3,centre-right,7.46575487295922,4.85285714866488,6.061262889163327
8,france24.com,,16,7,23,4,0.456989,0.497059,0.002075,50,41,91,0.020673,5,france24.com,6.796317211777158,,,3,centre-right,8.35755882563812,5.090581439618802,6.326656065878148
9,lefigaro.fr,,43,23,66,4,0.52795,0.608824,0.045962,214,103,317,0.041191,5,lefigaro.fr,7.826727320127689,,,4,right,7.256356046588018,4.815283662579926,7.127147106936994
10,ouest-france.fr,,16,25,41,4,0.537975,0.622549,0.019673,100,151,251,0.020615,3,ouest-france.fr,6.021886380107025,,,1,centre-left,6.163084227923166,5.744647562630522,4.528209366939327
11,liberation.fr,,32,18,50,4,0.502959,0.573529,0.024612,138,56,194,0.026141,1,liberation.fr,4.911688124239652,,,0,left,7.203369994249573,5.259537262869142,4.16436771932735
12,francebleu.fr,,19,8,27,5,0.410628,0.467059,0.00745,137,28,165,0.027926,8,francebleu.fr,5.745435264166263,,,1,centre-left,6.578760088846644,5.04947288921844,5.1495636719305296
13,ladepeche.fr,,15,8,23,5,0.445026,0.49549,0.002004,105,20,125,0.015918,0,ladepeche.fr,5.742608650289943,,,1,centre-left,6.818107289890525,5.214297954395085,4.901723185289866
14,valeursactuelles.com,,11,18,29,5,0.5,0.575882,0.012234,20,77,97,0.006428,5,valeursactuelles.com,9.115436010702892,,,4,right,7.946991233594126,3.569916549861793,9.14574038049446
15,franceinter.fr,,13,0,13,0,0.0,0.0,0.0,40,0,40,0.012819,8,franceinter.fr,5.364780517017931,,,0,left,6.770618553075617,5.689485594286025,4.106283217895242
